MutationResult {mutation = SWAP, crossOver = UNIFORM, iterationCount = 5000, solution = 1184}
MutationResult {mutation = BITFLIP, crossOver = UNIFORM, iterationCount = 5000, solution = 1183}
MutationResult {mutation = BITFLIP, crossOver = TWOPOINT, iterationCount = 5000, solution = 1142}
MutationResult {mutation = BITFLIP, crossOver = UNIFORM, iterationCount = 2000, solution = 1137}
MutationResult {mutation = BITFLIP, crossOver = UNIFORM, iterationCount = 1000, solution = 1043}
MutationResult {mutation = SWAP, crossOver = UNIFORM, iterationCount = 2000, solution = 944}
MutationResult {mutation = BITFLIP, crossOver = TWOPOINT, iterationCount = 2000, solution = 941}
MutationResult {mutation = BITFLIP, crossOver = ONEPOINT, iterationCount = 5000, solution = 938}
MutationResult {mutation = BITFLIP, crossOver = UNIFORM, iterationCount = 500, solution = 805}
MutationResult {mutation = BITFLIP, crossOver = TWOPOINT, iterationCount = 1000, solution = 763}
MutationResult {mutation = BITFLIP, crossOver = ONEPOINT, iterationCount = 2000, solution = 703}
MutationResult {mutation = SWAP, crossOver = UNIFORM, iterationCount = 1000, solution = 693}
MutationResult {mutation = BITFLIP, crossOver = ONEPOINT, iterationCount = 1000, solution = 673}
MutationResult {mutation = SWAP, crossOver = TWOPOINT, iterationCount = 5000, solution = 615}
MutationResult {mutation = BITFLIP, crossOver = ONEPOINT, iterationCount = 500, solution = 484}
MutationResult {mutation = BITFLIP, crossOver = TWOPOINT, iterationCount = 500, solution = 460}
MutationResult {mutation = SWAP, crossOver = UNIFORM, iterationCount = 500, solution = 243}
MutationResult {mutation = SWAP, crossOver = TWOPOINT, iterationCount = 1000, solution = 152}
MutationResult {mutation = SWAP, crossOver = TWOPOINT, iterationCount = 2000, solution = 142}
MutationResult {mutation = SWAP, crossOver = ONEPOINT, iterationCount = 500, solution = 84}
MutationResult {mutation = SWAP, crossOver = ONEPOINT, iterationCount = 5000, solution = 82}
MutationResult {mutation = SWAP, crossOver = TWOPOINT, iterationCount = 500, solution = 77}
MutationResult {mutation = SWAP, crossOver = ONEPOINT, iterationCount = 2000, solution = 70}
MutationResult {mutation = SWAP, crossOver = ONEPOINT, iterationCount = 1000, solution = 59}
